master_cpd_id,cpd_name,gene_symbol_of_protein_target
660281,selumetinib:UNC0638 (4:1 mol/mol),MAP2K1;MAP2K2;EHMT1;EHMT2
660282,alisertib:navitoclax (2:1 mol/mol),AURKA;AURKB;BCL2;BCL2L1;BCL2L2
660283,navitoclax:sorafenib (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;BRAF;FLT3;KDR;RAF1
660284,navitoclax:piperlongumine (1:1 mol/mol),BCL2;BCL2L1;BCL2L2
660286,SMER-3,CUL1;SKP1
660287,NVP-ADW742,IGF1R
660288,clofarabine,NA
660301,vorinostat:navitoclax (4:1 mol/mol),HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2
660304,XL765,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC
660306,AZD1480,JAK1;JAK2
660314,ML258,BCL2L10
660317,SR1001,RORA;RORC
660318,bardoxolone methyl,NA
660319,elocalcitol,VDR
660321,BMS-270394,RARG
660322,fluvastatin,HMGCR
660325,AZD4547,FGFR1;FGFR2;FGFR3
660327,hyperforin,TRPC6
660331,NVP-231,CERK
660332,MK-0752,APH1A;NCSTN;PSEN1;PSENEN
660341,semagacestat,APH1A;NCSTN;PSEN1;PSENEN
660342,BRD-A05715709,IDH1
660346,bosutinib,ABL1;SRC
660358,temsirolimus,MTOR
660363,abiraterone,CYP17A1
660364,docetaxel,NA
660391,nelarabine,POLA1
660397,rigosertib,PIK3CA;PIK3CB;PLK1
660409,AT7867,AKT1;AKT2;AKT3;RPS6KB2
660410,PD318088,MAP2K1;MAP2K2
660411,KU-60019,ATM
660412,BIRB-796,MAPK11;MAPK11;MAPK14
660413,KW-2449,AURKA;FLT3
660414,RAF265,BRAF;KDR
660421,silmitasertib,CSNK2A1;CSNK2A2
660424,BRD-K03911514,NA
660425,BRD-K16130065,NA
660429,momelotinib,JAK1;JAK2
660430,CAL-101,PIK3CD
660431,LY-2157299,TGFBR1
660432,WP1130,UCHL5;USP14;USP5;USP9X
660433,OSI-027,MTOR
660434,NVP-BSK805,JAK2
660768,erlotinib:PLX-4032 (2:1 mol/mol),EGFR;ERBB2;BRAF
660774,PIK-93,PIK3CG
660777,AZD7762,CHEK1;CHEK2
660778,birinapant,DIABLO;XIAP
660779,KX2-391,SRC
660796,3-Cl-AHPC,NR0B2
660797,BRD-K58730230,NA
660798,BRD-K27188169,NA
660819,KHS101,TACC3
660821,WAY-362450,NR1H4
660823,JQ-1:vorinostat (2:1 mol/mol),BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
660839,BRD-K13185470,MCL1
660840,cabozantinib,FLT3;KDR;MET;RET
660857,crizotinib:PLX-4032 (2:1 mol/mol),ALK;MET;BRAF
660890,BRD-M00053801,BCL2
660935,KPT185,XPO1
660985,pitstop2,CLTA;CLTB;CLTC;CLTCL1
660993,R428,AXL
660994,ibrutinib,BTK
661032,sotrastaurin,PRKCB
661033,A-804598,P2RX7
665818,BRD-K27188169:navitoclax (2:1 mol/mol),BCL2;BCL2L1;BCL2L2
665914,COL-3,NA
666541,ABT-199,BCL2
666716,ETP-46464,ATM;ATR
666910,marinopyrrole A,MCL1
667933,methylstat,KDM3A;KDM4A;KDM4B;KDM4C;KDM4D
668495,BYL-719,PIK3CA
668723,GSK2636771,PIK3CB
668858,SR8278,NR1D1
676728,JW-74,NA
677522,necrosulfonamide,NA
679843,HBX-41108,USP7
679844,palmostatin B,LYPLA1
682993,JW-55,TNKS
686134,BRD-K03536150,BAX
687395,BRD-K99006945,NA
687406,tivantinib,MET
687418,trametinib,MAP2K1;MAP2K2
687577,RO4929097,APH1A;NCSTN;PSEN1;PSENEN
687578,dinaciclib,CDK1;CDK2;CDK5;CDK9
687579,MLN2480,ARAF;BRAF;RAF1
687661,BRD-K51831558,EZH2
687694,istradefylline,ADORA2A
687714,MI-2,MEN1
687715,BRD-K42260513,EZH2
687720,alvocidib,CDK1;CDK2;CDK4;CDK6
687721,CBB-1007,KDM1A
687735,GSK-J4,KDM6A;KDM6B
687769,BRD-A86708339,NA
687953,PF-3758309,PAK4
687954,dabrafenib,BRAF
688138,SZ4TA2,BCL2L1
688229,AT13387,HSP90AA1
688516,BCL-LZH-4,NA
688799,skepinone-L,MAPK14
688888,BRD-K34222889,NA
688962,PF-4800567 hydrochloride,CSNK1D;CSNK1E
688975,avicin D,NA
689136,BRD9876:MK-1775 (4:1 mol/mol),WEE1
689506,BRD-K30748066,CDK9
705300,linsitinib,IGF1R;INSR
710154,AT-406,XIAP
